Lämpötila Helsingissä,Sähkönkulutus Suomessa,Tuulivoimatuotanto,Ydinvoimatuotanto,Vesivoimatuotanto,Sähköntuotanto Suomessa,"Sähköntuotanto, yli/alijäämä"
-9.284,11345.0,808.00999,4363.19999,1947.3,10601.0,147.69999
-9.8345,11350.0,799.0,4363.0,1948.5,10585.0,131.59999
-9.8345,11363.0,782.00999,4364.0,1953.8,10570.0,85.4
-9.8345,11409.0,778.0,4366.3,1946.8,10578.0,56.29999
-9.8345,11409.0,782.97,4366.0,1947.0,10592.0,71.46999
-9.8345,11419.0,794.0,4363.19999,1951.3,10567.0,40.17
-9.8345,11461.0,811.98,4363.5,1951.0,10597.0,31.69
-9.8345,11463.0,822.0,4366.69999,1955.5,10611.0,39.78999
-9.8345,11489.0,822.0,4364.3,1965.2,10614.0,-1.937
-9.8345,11524.0,828.0,4363.3,1957.7,10609.0,-19.91
-9.8345,11539.0,835.0,4364.19999,1967.8,10617.0,-36.97999
-9.8345,11581.0,842.0,4365.8,1987.5,10635.0,-39.21999
-9.8214,11624.0,842.0,4364.19999,1992.2,10653.0,-66.06999
-9.31969,11632.0,848.0,4364.3,1985.7,10665.0,-71.64
-9.31969,11699.0,837.0,4363.3,1999.2,10670.0,-91.45999
-9.31969,11681.0,829.0,4364.0,2021.8,10685.0,-54.64
-9.31969,11695.0,823.0,4364.69999,2044.2,10700.0,-48.02
-9.31969,11719.0,830.0,4362.19999,2062.69999,10709.0,-61.02
-9.31969,11719.0,830.0,4363.19999,2083.3,10734.0,86.4
-9.31969,11743.0,830.0,4364.0,2059.3,10740.0,33.96999
-9.31969,11749.0,823.01999,4363.8,2084.5,10763.0,36.32
-9.31969,11787.0,823.0,4364.8,2105.3,10766.0,1.115
-9.31969,11780.0,819.50999,4364.5,2097.19999,10752.0,-7.02899
-9.31969,11825.0,825.02999,4366.19999,2106.5,10784.0,-18.42
-9.31969,11817.0,833.0,4365.3,2105.19999,10784.0,4.657
-9.31969,11811.0,847.99,4361.69999,2103.5,10809.0,36.50999
-9.3068,11807.0,859.98,4364.69999,2117.09999,10851.0,65.10999
-8.79979,11817.0,854.0,4361.69999,2123.8,10871.0,97.0
-8.79979,11811.0,863.99,4364.19999,2127.5,10872.0,78.93999
-8.79979,11831.0,869.98,4363.69999,2132.19999,10888.0,92.90999
-8.79979,11818.0,877.0,4363.8,2134.3,10906.0,120.9
-8.79979,11845.0,883.0,4364.8,2141.09999,10937.0,141.0
-8.79979,11827.0,885.99,4362.0,2139.5,10932.0,123.59999
-8.79979,11831.0,895.0,4364.5,2141.0,10940.0,118.3
-8.79979,11827.0,888.0,4364.8,2149.19999,10939.0,126.5
