Viim.,Avoin,Korkea,Matala,Vol.
7951.8,7928.05,7974.64,7886.91,80310000
7718.82,7951.8,7955.53,7690.17,114230000
7822.69,7718.82,7877.22,7716.36,101200000
7694.57,7822.69,7822.69,7601.6,93850000
7506.38,7694.57,7708.52,7468.26,244540000
7565.37,7506.38,7590.06,7397.83,102840000
7680.93,7565.37,7731.86,7565.37,75840000
7937.63,7680.93,7946.85,7679.71,106680000
8051.95,7937.63,8119.77,7937.41,98860000
7451.18,8051.95,8225.85,7413.59,223730000
7274.34,7384.55,7452.54,7170.78,150840000
7043.25,7256.67,7256.8,7013.52,93320000
6943.01,7064.87,7148.74,6887.84,91170000
6788.42,7021.53,7022.18,6779.8,89580000
6805.23,6786.21,6891.96,6580.86,129880000
6831.98,6858.42,7007.21,6858.42,82850000
6730.38,6910.6,6911.22,6716.73,70680000
6849.2,6800.28,6822.58,6675.31,77340000
6872.49,6821.35,6976.85,6821.26,79220000
6635.05,6945.58,6947.74,6636.09,110470000
6539.43,6656.29,6674.12,6575.83,52450000
6599.03,6597.7,6634.56,6427.46,106720000
6922.7,6609.18,6878.72,6608.45,99640000
6663.53,6865.01,6865.23,6651.91,74220000
6776.65,6727.86,6800.45,6583.74,62250000
6996.89,6788.28,7015.99,6785.67,124960000
7005.93,6969.86,7105.67,6928.36,82670000
6847.03,7003.28,7007.98,6856.9,72590000
6862.77,6904.97,7023.3,6843.6,72280000
6860.33,6869.75,6956.56,6810.11,107800000
6676.25,6823.54,6881.59,6745.96,85100000
6466.58,6755.66,6755.66,6468.16,106380000
6387.24,6479.56,6541.65,6262.12,129110000
6441.15,6399.65,6466.59,6337.12,69270000
6385.5,6397.68,6463.63,6350.46,37930000
6351.68,6364.56,6500.35,6344.09,62650000
6272.21,6359.75,6372.45,6232.6,140860000
6100.05,6282.31,6282.31,6112.14,108910000
6351.52,6159.19,6342.19,6121.74,107840000
6165.36,6342.19,6342.87,6186.62,45750000
6011.06,6206.7,6206.7,5997.97,85870000
6108.78,6053.68,6199.16,6052.0,73760000
6072.05,6160.73,6248.74,6066.92,78620000
5842.57,6087.05,6087.05,5746.55,126760000
5883.79,5822.87,5898.79,5792.78,67670000
5980.03,5889.82,6132.96,5651.12,179260000
5853.5,6064.07,6066.45,5844.22,116740000
5843.74,5868.36,5997.18,5814.35,98030000
5792.67,5827.73,5827.8,5599.32,207670000
6019.62,5811.93,6039.45,5811.89,77560000
5979.61,6014.17,6036.34,5945.84,69080000
5828.38,6016.55,6017.38,5803.7,66920000
5803.66,5843.44,5974.64,5706.82,170840000
5520.77,5812.84,5819.42,5535.36,93130000
5665.41,5554.59,5714.94,5553.81,83350000
5648.38,5665.97,5665.97,5369.92,142590000
5752.07,5638.81,5951.09,5638.81,117060000
6051.87,5846.86,6064.59,5846.86,137930000
5980.53,6063.27,6200.36,5965.27,131450000
5820.69,6058.92,6059.44,5842.43,88790000
5881.49,5879.26,5881.63,5724.41,147670000
6024.19,5822.48,6028.92,5821.97,74430000
6239.78,5994.25,6232.03,5994.25,90690000
6136.22,6212.82,6297.25,6135.94,87310000
6088.24,6181.98,6183.79,6033.22,81100000
5925.19,6077.1,6126.31,5957.97,75670000
5802.38,5981.42,5982.23,5783.98,92130000
5807.28,5837.58,5995.14,5796.32,83790000
5625.73,5868.57,5868.57,5624.29,92730000
5709.47,5679.63,5813.47,5542.25,109310000
5748.47,5632.85,5867.63,5603.04,94440000
5666.09,5829.14,6015.59,5647.15,214460000
5429.97,5694.78,5694.95,5432.53,104210000
5313.49,5490.88,5492.01,5355.19,75840000
5077.0,5385.76,5399.17,5111.01,95370000
4948.07,5111.01,5112.92,4711.09,147600000
4954.54,4882.24,5154.47,4882.24,120260000
4930.8,4984.05,5010.52,4766.25,100870000
5327.3,5006.71,5281.93,4975.07,79850000
5387.38,5268.14,5389.09,5250.33,93360000
5338.3,5338.11,5471.71,5246.25,115330000
5128.03,5337.66,5440.75,5173.62,76830000
5013.29,5194.37,5194.86,5004.55,85120000
4819.85,5035.82,5036.86,4834.24,58950000
5006.09,4834.67,5041.07,4715.78,99130000
4996.08,5004.32,5177.54,5002.78,88650000
5176.07,5036.48,5192.88,5007.66,107220000
5357.35,5145.91,5337.14,5145.91,252080000
5259.05,5331.26,5416.51,5239.14,63200000
5207.04,5311.78,5313.06,5190.56,73830000
5160.12,5294.29,5294.41,5100.86,99260000
5279.58,5132.41,5347.76,5132.41,78300000
5444.37,5307.72,5424.79,5307.72,68710000
5627.94,5398.22,5599.92,5380.02,67600000
5585.43,5599.33,5714.86,5543.06,83000000
5737.14,5611.52,5795.23,5574.33,103410000
5879.91,5685.33,5893.03,5685.33,88000000
5743.8,5864.68,5923.95,5756.37,132340000
5669.83,5774.98,5815.22,5645.68,33350000
5742.13,5668.66,5855.79,5668.6,89720000
5555.6,5752.14,5752.14,5556.49,89110000
5545.56,5581.37,5581.52,5389.36,98070000
5525.36,5511.96,5574.51,5429.26,66510000
5429.39,5506.77,5533.0,5427.83,36900000
5224.06,5431.52,5438.61,5192.06,108160000
5265.42,5206.66,5282.71,5157.84,86610000
5395.21,5224.96,5365.2,5189.25,120460000
5583.24,5329.44,5590.13,5328.94,99020000
5563.97,5558.76,5631.48,5510.01,77640000
5570.38,5550.84,5652.1,5476.38,129700000
5788.0,5569.67,5839.91,5569.67,103650000
5651.95,5817.75,5822.78,5625.36,85190000
