Started journeys,Avg. covered distance (m),Avg. duration (sec.)
52,3165.980769230769,1084.3653846153845
65,2534.230769230769,809.4461538461538
56,2646.285714285714,787.7142857142857
70,2558.6,922.2
55,2527.9454545454546,786.5454545454545
77,3106.7012987012986,911.0
74,2952.6486486486488,1182.0
51,2604.5098039215686,818.843137254902
71,2747.507042253521,859.4507042253521
72,2831.0138888888887,930.1944444444445
93,2721.7741935483873,991.0860215053764
87,2448.2528735632186,829.448275862069
70,2734.476142857143,912.5428571428571
93,2538.8924731182797,920.6559139784946
76,3243.1710526315787,1153.6842105263158
94,2766.0,1110.2553191489362
93,2581.6881720430106,802.5806451612904
79,2503.3797468354433,933.7341772151899
72,2833.0,969.7222222222222
70,3137.5,1278.642857142857
77,2633.935064935065,938.8181818181819
84,2870.1071428571427,944.3571428571429
80,2335.375,927.5125
93,2522.7956989247314,930.5376344086021
103,2487.8446601941746,883.747572815534
78,2549.948717948718,849.2307692307693
99,2327.10101010101,829.989898989899
84,2480.5119047619046,798.702380952381
96,2686.8541666666665,903.0520833333334
97,2861.6667010309275,924.6701030927835
112,2979.0803571428573,1076.6875
99,2419.2323232323233,868.8282828282828
77,3341.064935064935,1249.4285714285713
85,2539.8470588235296,885.6588235294117
111,2892.846846846847,981.5585585585585
97,2894.0103092783506,931.2680412371134
95,2351.3473684210526,812.0526315789474
89,2327.9887640449438,798.9887640449438
89,3047.0,997.1123595505618
94,2735.925531914894,873.7234042553191
80,2710.3,914.6
105,2714.5142857142855,1046.8190476190475
100,2711.47,983.04
99,2677.5656565656564,954.8787878787879
106,2812.433962264151,990.5
95,2395.442105263158,833.4947368421052
107,3011.1432710280374,980.2990654205607
87,2916.103448275862,982.735632183908
94,2729.31914893617,990.968085106383
97,2622.237113402062,923.1855670103092
96,2445.5,936.96875
103,2906.097087378641,916.6699029126214
96,2873.4479166666665,960.8645833333334
105,3332.0666666666666,1129.5904761904762
104,2536.951923076923,869.625
93,2697.9139784946237,953.5376344086021
89,2550.7640449438204,937.4044943820224
80,2820.0875,907.7125
83,3105.578313253012,1026.7469879518073
77,3122.5844155844156,1085.1168831168832
64,2891.234375,896.171875
67,2407.865671641791,821.7910447761194
88,2677.465909090909,996.8295454545455
68,2901.9411764705883,978.7794117647059
77,2154.1428571428573,744.2077922077922
76,2702.4605263157896,886.9605263157895
85,2552.0,916.0470588235294
79,2922.025316455696,1069.1898734177216
84,2094.059523809524,790.5833333333334
91,2733.6373626373625,951.9120879120879
89,2666.9438202247193,875.0449438202247
68,2016.264705882353,711.2352941176471
94,2457.6170212765956,834.8297872340426
77,2236.5064935064934,878.1688311688312
70,2442.6428571428573,755.1142857142858
66,2591.939393939394,867.5757575757576
87,2584.206896551724,820.7471264367816
62,2587.3387096774195,821.6774193548387
66,2406.0,798.8787878787879
76,2764.065789473684,860.0263157894736
74,2229.445945945946,757.6216216216217
74,2691.364864864865,856.8513513513514
58,2425.793103448276,767.6551724137931
68,2250.926470588235,806.1911764705883
47,2895.886595744681,815.2765957446809
69,2837.3623188405795,1117.3478260869565
75,2512.96,795.4666666666667
73,2115.5068493150684,647.8219178082192
54,2295.8888888888887,714.925925925926
86,2300.9805813953485,747.3953488372093
61,2435.0819672131147,883.4262295081967
61,2279.4262295081967,751.344262295082
55,2543.8727272727274,766.1272727272727
57,2318.877192982456,765.4912280701755
57,2400.2280701754385,790.438596491228
43,2318.720930232558,819.2093023255813
53,2449.0,814.0377358490566
57,2477.2631578947367,836.8947368421053
59,2137.864406779661,688.4745762711865
42,2585.0476190476193,743.4761904761905
53,2287.396226415094,804.2641509433962
44,2234.5454545454545,747.3181818181819
52,2552.403846153846,793.8461538461538
51,2083.9803921568628,658.7450980392157
42,2103.3492857142855,658.7857142857143
52,2200.801346153846,700.3653846153846
38,1735.7105263157894,571.7894736842105
38,2384.2105263157896,720.4473684210526
34,2238.6176470588234,719.2352941176471
36,2043.638888888889,640.3333333333334
28,2048.75,676.6428571428571
32,2136.75,747.1875
40,2817.55,816.95
28,2899.75,938.3571428571429
37,2343.324324324324,777.9459459459459
28,2238.1428571428573,748.25
19,2227.2105263157896,667.7368421052631
27,2463.6666666666665,875.8888888888889
26,1880.6923076923076,612.7307692307693
25,1695.12,692.0
22,1916.8636363636363,554.7727272727273
15,2851.3333333333335,839.2
23,2423.521739130435,798.6086956521739
18,2340.0,631.7222222222222
24,2452.2916666666665,856.3333333333334
10,2615.2,893.7
16,1431.5625,478.1875
14,1886.5,679.2857142857143
14,3300.6428571428573,1120.0714285714287
14,2728.4285714285716,722.5
16,2246.1875,686.9375
12,2664.3333333333335,1038.75
10,1929.8,575.0
5,1251.6,1222.6
12,2939.75,972.4166666666666
16,2413.0625,748.9375
7,2103.0,650.0
9,2325.222222222222,805.6666666666666
12,1526.5,466.6666666666667
10,2402.6,811.0
8,2693.75,975.375
7,1095.142857142857,381.57142857142856
8,2372.25,720.125
7,1931.5714285714287,651.7142857142857
3,1814.0,959.0
6,2080.3333333333335,696.5
8,2511.375,665.75
7,1916.0,615.1428571428571
6,2383.5,1065.6666666666667
6,1822.0,829.5
4,2550.75,801.5
1,1745.0,436.0
2,2690.0,708.5
7,1846.5714285714287,731.1428571428571
5,2104.0,5913.4
2,887.5,1832.5
2,3.0,188.5
2,1914.0,523.0
5,1457.8,657.0
1,3730.0,918.0
1,6542.0,1260.0
1,2513.0,545.0
3,2121.0,664.0
3,1277.0,1023.0
2,2108.0,702.0
7,2821.285714285714,828.8571428571429
4,3106.5,785.25
2,2740.0,1271.0
4,1396.75,677.75
7,3143.1428571428573,845.7142857142857
3,2901.6666666666665,854.6666666666666
2,3419.5,989.0
1,581.0,156.0
2,3123.5,988.5
1,2453.0,594.0
1,945.0,301.0
2,4530.0,1068.0
2,1333.0,824.0
2,4204.0,1055.0
1,1217.0,480.0
2,782.0,249.5
1,1676.0,452.0
1,2219.0,575.0
1,2848.0,1085.0
1,7364.0,1536.0
1,6562.0,1426.0
2,2028.0,632.5
1,3664.0,1100.0
1,1786.0,479.0
1,1176.0,361.0
1,3583.0,1156.0
2,1452.5,374.0
3,3094.3333333333335,705.3333333333334
1,1473.0,574.0
2,2705.0,572.5
3,4321.333333333333,1162.0
1,1694.0,450.0
2,3774.5,913.0
3,4082.3333333333335,1183.3333333333333
3,2968.0,860.3333333333334
7,1802.4285714285713,487.7142857142857
8,2042.625,530.125
4,2324.0,605.0
7,1962.4285714285713,544.0
9,1963.2222222222222,487.22222222222223
7,2542.714285714286,613.1428571428571
12,1892.25,538.4166666666666
6,1970.6666666666667,507.6666666666667
15,2240.3333333333335,592.6
8,1909.625,614.0
16,2250.75,614.5625
13,2541.076923076923,650.9230769230769
21,2994.1428571428573,812.2857142857143
18,2316.777777777778,645.0
17,2043.1764705882354,550.1176470588235
30,1914.6,506.06666666666666
